ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
081297106X,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,Random House Trade Paperbacks
0802139256,Peace Like a River,Leif Enger,2002,Grove Press
055356160X,Cry Wolf,TAMI HOAG,1993,Bantam
0515120618,Montana Sky,Nora Roberts,2000,Jove Books
0385335830,Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta
0515130389,Carolina Moon,Nora Roberts,2001,Jove Books
080411935X,Standing in the Rainbow,FANNIE FLAGG,2003,Ballantine Books
0142004235,East of Eden (Oprah's Book Club),John Steinbeck,2003,Penguin Books
0515135062,Three Fates,Nora Roberts,2004,Jove Books
0743412028,Pay It Forward,Catherine Ryan Hyde,2000,Pocket
0425169693,Here on Earth (Oprah's Book Club),Alice Hoffman,1999,Berkley Publishing Group
0452269571,Bastard Out of Carolina,Dorothy Allison,1993,Plume Books
051513287X,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books
0060392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002,Regan Books
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic
0312263120,Digital Fortress : A Thriller,Dan Brown,2000,St. Martin's Griffin
0446532231,"Dude, Where's My Country?",Michael Moore,2003,Warner Books
0385498802,Bee Season: A Novel,Myla Goldberg,2001,Anchor Books/Doubleday
0312291639,The Nanny Diaries: A Novel,Emma McLaughlin,2003,St. Martin's Griffin
0684874350,ANGELA'S ASHES,Frank McCourt,1996,Scribner
0446611212,Violets Are Blue,James Patterson,2002,Warner Vision
0316168688,The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,2003,"Little, Brown"
0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
034538475X,The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books
0425181103,Phantoms,Dean R. Koontz,2002,Berkley Publishing Group
0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994,Avon
0451153553,Misery,Stephen King,1988,New Amer Library
0142001805,The Eyre Affair: A Novel,Jasper Fforde,2003,Penguin Books
0425147622,The Body Farm,Patricia Daniels Cornwell,1995,Berkley Publishing Group
0553582763,By the Light of the Moon,DEAN KOONTZ,2003,Bantam
0345384369,Intensity,DEAN KOONTZ,1996,Ballantine Books
034539657X,Dark Rivers of the Heart,Dean R. Koontz,1995,Ballantine Books
0425144429,Mr. Murder,Dean R. Koontz,1996,Berkley Publishing Group
0312305060,The Hours: A Novel,Michael Cunningham,2002,Picador
0399146431,The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group
0399141146,The Hundred Secret Senses,Amy Tan,1995,Putnam Pub Group
0375706771,Midwives: A Novel,Chris Bohjalian,1998,Vintage
0452260116,Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison,1987,Plume Books
0451191145,Atlas Shrugged,Ayn Rand,1996,Signet Book
0060987561,I Know This Much Is True,Wally Lamb,1999,Regan Books
0312265867,To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003,St. Martin's Press
0786881852,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,1997,Hyperion
0345413873,Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2000,Ballantine Books
1559029838,Call of the Wild,Jack London,0,Selldowns/no More Orders
0679746048,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage
0446610100,Wish You Well,David Baldacci,2001,Warner Books
0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
051512317X,Rising Tides,Nora Roberts,2001,Jove Books
0380002930,Watership Down,Richard Adams,1976,Avon
0312971346,High Five (A Stephanie Plum Novel),Janet Evanovich,2000,St. Martin's Paperbacks
0140280553,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000,Penguin Books
0060958022,Five Quarters of the Orange,Joanne Harris,2002,Perennial
0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,Anchor Books/Doubleday
0375412824,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002,Knopf
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications
0553582135,Final Target,Iris Johansen,2002,Bantam Books
0385720106,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday
0553208845,Siddhartha,Hermann Hesse,1981,Bantam Classics
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers
0440221471,The Runaway Jury,JOHN GRISHAM,1997,Dell
0425143325,Without Remorse,Tom Clancy,2004,Berkley Publishing Group
0425180964,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001,Berkley Publishing Group
0743411250,The Woman Next Door,Barbara Delinsky,2002,Pocket
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch
0061020710,The Color of Magic,Terry Pratchett,2000,HarperTorch
0440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1994,Dell Publishing Company
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,Health Communications
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1999,Bantam Books
0671004107,Contact,Carl Sagan,1997,Pocket
0671683993,The Temple of My Familiar,Alice Walker,1990,Pocket
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic
0553211404,Jane Eyre (Bantam Classics),Charlotte Bronte,1983,Bantam
1400032717,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004,Vintage
0374100128,The Corrections (Oprah Edition),Jonathan Franzen,2001,Farrar Straus Giroux
0061097314,The Bean Trees,Barbara Kingsolver,1998,HarperTorch
0140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994,Penguin Books
0684857820,Lucky,Alice Sebold,1999,Scribner
0553579606,Ashes to Ashes,TAMI HOAG,2000,Bantam
006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999,Perennial
0671250671,"ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values, and Spritual Growth (Touchstone Books (Paperback))",M. Scott Peck,1980,Touchstone
0425118703,Midnight,Dean R. Koontz,1995,Berkley Publishing Group
0061000043,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch
0553289411,The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,1991,Bantam
044661064X,The First Counsel,Brad Meltzer,2001,Warner Vision
0446530522,Cane River,Lalita Tademy,2001,Warner Books
0345447840,The Surgeon,TESS GERRITSEN,2002,Ballantine Books
044661193X,Basket Case,Carl Hiaasen,2003,Warner Books
0446359866,Presumed Innocent,Scott Turow,1989,Warner Books
0446612790,2nd Chance,James Patterson,2003,Warner Vision
0446606383,The Midnight Club,James Patterson,1999,Warner Vision
0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics
0446365505,Pleading Guilty,Scott Turow,1994,Warner Books
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
0451203895,4 Blondes,Candace Bushnell,2002,Signet Book
0553272535,Night,Elie Wiesel,1982,Bantam Books
068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone
0684853515,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner
0375504397,Black House,Stephen King,2001,Random House Trade
0452283205,Falling Angels,Tracy Chevalier,2002,Plume Books
0553250531,The Valley of Horses,JEAN M. AUEL,1984,Bantam
0440213525,The Client,John Grisham,1994,Dell Publishing Company
0451188462,Desperation,Stephen King,1997,Signet Book
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic
0671028367,Deadly Decisions,Kathy Reichs,2001,Pocket Books
0064400557,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy
0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket
0440221315,The Gift,DANIELLE STEEL,1996,Dell
0446527785,A Bend in the Road,Nicholas Sparks,2001,Warner Books
0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books
0440200989,Weep No More My Lady,Mary Higgins Clark,1993,Dell
0671568175,Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket
0449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,Fawcett Books
0446607193,Unspeakable,Sandra Brown,1999,Warner Books
0373484003,Irish Hearts,Nora Roberts,2000,Silhouette
0767905385,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,2000,Broadway
0440211263,Circle of Friends,Maeve Binchy,1991,Dell
0553260111,The Bourne Identity,Robert Ludlum,1984,Bantam Books
0767900383,Under the Tuscan Sun,Frances Mayes,1997,Broadway
0684865742,Tis: A Memoir,Frank McCourt,2000,Scribner
0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group
0425191184,Red Rabbit,Tom Clancy,2003,Berkley Publishing Group
074343627X,Dreamcatcher,Stephen King,2001,Pocket
067102423X,Bag of Bones,Stephen King,1999,Pocket
0345334531,Feast of All Saints,Anne Rice,1986,Ballantine Books
0399143947,Point of Origin,Patricia Daniels Cornwell,1998,Putnam Pub Group
0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books
0316666009,1st to Die: A Novel,James Patterson,2001,Little Brown and Company
0446611867,A Bend in the Road,Nicholas Sparks,2002,Warner Books
0385336179,Shopaholic Ties the Knot,Sophie Kinsella,2003,Delta
0553582755,One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books
0452268060,How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),Julia Alvarez,1992,Plume Books
044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books
0142002267,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,2002,Penguin Books
0440439884,Island of the Blue Dolphins,SCOTT O'DELL,1971,Random House Children's Books
0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,Del Rey
0446679593,Suzanne's Diary for Nicholas,James Patterson,2002,Warner Books
1573225517,High Fidelity,Nick Hornby,1996,Riverhead Books
0802130208,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,1987,Grove Press
0156628708,Mrs Dalloway,Virginia Woolf,1990,Harvest Books
0060199652,Prodigal Summer,Barbara Kingsolver,2000,HarperCollins
034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books
0316284955,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books
0060987529,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,Regan Books
0375703764,House of Leaves,Mark Z. Danielewski,2000,Pantheon Books
0553277472,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,1984,Bantam
0446608262,The Lion's Game,Nelson DeMille,2000,Warner Books
0553560247,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,1993,Bantam
051512608X,The Reef,Nora Roberts,1999,Jove Books
067088300X,The Girls' Guide to Hunting and Fishing,Melissa Bank,1999,Viking Books
0375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books
0446608890,Saving Faith,David Baldacci,2000,Warner Vision
0312983298,Full Speed (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks
0743437640,The Mulberry Tree,Jude Deveraux,2003,Pocket
0375703861,White Teeth: A Novel,Zadie Smith,2001,Vintage Books USA
0425152251,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,Berkley Publishing Group
0312924585,Silence of the Lambs,Thomas Harris,1991,St. Martin's Press
0385479565,The Hot Zone,Richard Preston,1995,Anchor
0312274920,Round Ireland With a Fridge,Tony Hawks,2001,St. Martin's Press
0425162443,The Rapture of Canaan,Sheri Reynolds,1997,Berkley Publishing Group
0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
0515131229,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
038079487X,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998,Perennial
0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner
0060926317,Mutant Message Down Under,Marlo Morgan,1995,Perennial
0312421273,The Corrections: A Novel,Jonathan Franzen,2002,Picador USA
0440241162,Nerd in Shining Armor,Vicki Lewis Thompson,2003,Dell Publishing Company
0786866586,Shopgirl : A Novella,Steve Martin,2000,Hyperion Press
0156007754,Blindness (Harvest Book),Jose Saramago,1999,Harvest Books
0064407675,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,1999,HarperCollins
0380977788,Coraline,Neil Gaiman,2002,HarperCollins
0441304834,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books
0553571818,Long After Midnight,IRIS JOHANSEN,1997,Bantam
0441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter
0553573403,"A Game of Thrones (A Song of Ice and Fire, Book 1)",George R.R. Martin,1997,Spectra Books
0345391055,Disclosure,Michael Crichton,1994,Ballantine Books
0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
0374129983,The Corrections,Jonathan Franzen,2001,Farrar Straus &amp; Giroux
0345413350,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997,Del Rey
1576737330,The Prayer of Jabez: Breaking Through to the Blessed Life,Bruce Wilkinson,2000,Multnomah
0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books
0345314255,Sword of Shannara,Terry Brooks,1995,Del Rey Books
1573227331,About a Boy,Nick Hornby,1999,Riverhead Books
080411918X,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books
0066214122,Prey: A Novel,Michael Crichton,2002,HarperCollins
0446604275,Primary Colors: A Novel of Politics,Anonymous,1996,Warner Books
0375502238,Blessings,ANNA QUINDLEN,2002,Random House
0440202043,Shell Seekers,Rosamunde Pilcher,1996,Dell
0451183665,A Case of Need,Michael Crichton,1994,Signet Book
0399150897,Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group
074322535X,Gap Creek: The Story of a Marriage,Robert Morgan,2001,Touchstone
0316693286,Pop Goes the Weasel,James Patterson,1999,Replica Books
038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday
0671004530,On the Street Where You Live,Mary Higgins Clark,2002,Pocket
0060959037,Prodigal Summer: A Novel,Barbara Kingsolver,2001,Perennial
014028009X,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books
0312244266,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books
0452282829,We Were the Mulvaneys,Joyce Carol Oates,1996,Plume
034540761X,The Final Judgment,Richard North Patterson,1997,Ballantine Books
0060929871,Brave New World,Aldous Huxley,1998,Perennial
0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor
0142001430,Year of Wonders,Geraldine Brooks,2002,Penguin Books
080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books
031242227X,Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA
0440235596,Tara Road,Maeve Binchy,2000,Dell Publishing Company
042516098X,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group
0446613266,Four Blind Mice,James Patterson,2003,Warner Books
038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor
0552998486,Chocolat,Joanne Harris,2000,Black Swan
0671041789,The Green Mile,Stephen King,1999,Pocket
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic
0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
0441005489,"Redwall (Redwall, Book 1)",Brian Jacques,1998,Ace Books
0440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel
0449003795,P Is for Peril,Sue Grafton,2002,Ballantine Books
1551668998,Beach House,Mary Alice Monroe,2002,Mira
044651862X,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994,Warner Books
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
0451184963,Insomnia,Stephen King,1995,Signet Book
0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group
0451156609,The Tommyknockers,Stephen King,1994,Signet Book
1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
0425170349,Rainbow Six,Tom Clancy,2004,Berkley Publishing Group
0446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books
0440204194,Firefly Summer,Maeve Binchy,1989,Dell
0440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling
014038572X,The Outsiders (Now in Speak!),S. E. Hinton,1997,Puffin Books
0440241073,The Summons,John Grisham,2002,Dell Publishing Company
0451190491,The Two Dead Girls (Green Mile Series),Stephen King,1996,Signet Book
0449227421,The Third Twin,Ken Follett,1997,Fawcett Books
0446606324,The Winner,David Baldacci,1998,Warner Vision
0515132187,The Villa,Nora Roberts,2002,Jove Books
0446670251,The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books
0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group
0425179613,It's Not About the Bike: My Journey Back to Life,Lance Armstrong,2001,Berkley Publishing Group
0671014196,The Summerhouse,Jude Deveraux,2002,Pocket
0871136791,Cold Mountain,Charles Frazier,1997,Atlantic Monthly Press
0553380095,The Heart of a Woman,Maya Angelou,1997,Bantam
0385475721,The Blind Assassin,Margaret Atwood,2000,Nan A. Talese
0553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1988,Bantam
0679751521,Midnight in the Garden of Good and Evil,John Berendt,1999,Vintage Books USA
0312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks
0671001795,Two for the Dough,Janet Evanovich,1996,Pocket
0553274295,Where the Red Fern Grows,Wilson Rawls,1984,Random House Children's Books
0375413634,The Emperor of Ocean Park (Today Show Book Club #1),Stephen L. Carter,2002,Alfred A. Knopf
0679439382,The Little Friend,Donna Tartt,2002,Alfred A. Knopf
0804108749,Saint Maybe,ANNE TYLER,1992,Ivy Books
0425121631,Rules of Prey,John Sandford,1992,Berkley Publishing Group
0316693235,Violets Are Blue,James Patterson,2001,"Little, Brown"
0425153975,The Eyes of Darkness,Dean R. Koontz,1996,Berkley Publishing Group
0425119653,Mutation,Robin Cook,1991,Berkley Publishing Group
0553579983,And Then You Die,Iris Johansen,1998,Bantam
0399149325,Portrait of a Killer: Jack the Ripper -- Case Closed,Patricia Cornwell,2002,G. P. Putnam's Sons
0804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books
0446611808,Envy,Sandra Brown,2002,Warner Books
0425178579,Betrayal in Death,Nora Roberts,2001,Berkley Publishing Group
0316603287,The Lake House,James Patterson,2003,"Little, Brown"
0425178102,Big Trouble,Dave Barry,2001,Berkley Publishing Group
0451208765,Sleep No More,Greg Iles,2003,Signet Book
0312144075,The Samurai's Garden : A Novel,Gail Tsukiyama,1996,St. Martin's Griffin
0156007479,Slammerkin,Emma Donoghue,2002,Harvest Books
0451206525,Dead Sleep,Greg Iles,2002,Signet Book
0451167317,The Dark Half,Stephen King,1994,Signet Book
0345396936,Cry to Heaven,Anne Rice,1995,Ballantine Books
0312980159,Fast Women,Jennifer Crusie,2002,St. Martin's Press
0679720200,The Stranger,ALBERT CAMUS,1989,Vintage
0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
0446670111,Einstein's Dreams,Alan Lightman,1994,Warner Books
0312979096,Now You See Me,Tina Wainscott,2002,St. Martin's Paperbacks
0553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,Bantam
0553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,Bantam
0671701231,The Anastasia Syndrome,Mary Higgins Clark,1991,Pocket
0446605409,Plum Island,Nelson DeMille,1998,Warner Books
0553280414,A Separate Peace,John Knowles,1985,Bantam Books
0373484232,Stanislaski Sisters,Nora Roberts,2001,Silhouette
0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic
0345366239,The Eight,Katherine Neville,1995,Ballantine Books
0330262130,Restaurant At the End of the Universe,Douglas Adams,0,Pan Books Ltd
0451163524,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997,Signet Book
0452280621,Beloved,Toni Morrison,1998,Plume Books
0671026011,The Empty Chair,Jeffery Deaver,2001,Pocket
0330375253,Bridget Jones's Diary,Helen Fielding,2001,Picador
0385503822,The Summons,John Grisham,2002,Doubleday Books
0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press
0345439104,Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,Ballantine Books
0425180638,The Last Precinct,Patricia Cornwell,2001,Berkley Publishing Group
0312924801,September,Rosamunde Pilcher,1991,St. Martin's Press
0316693251,Roses Are Red,James Patterson,2000,Little Brown and Company
0679735909,Possession : A Romance,A.S. BYATT,1991,Vintage
0449221490,L Is for Lawless,Sue Grafton,1996,Fawcett Books
042513699X,Turtle Moon,Alice Hoffman,1993,Berkley Publishing Group
0345387651,The Cider House Rules,John Irving,1994,Ballantine Books
0679444815,Timeline,Michael Crichton,1999,Alfred A. Knopf
0060921145,Animal Dreams,Barbara Kingsolver,1991,Perennial
0425121259,The Servants of Twilight,Dean R. Koontz,1996,Berkley Publishing Group
0743467523,Dreamcatcher,Stephen King,2003,Pocket
0345404114,Sleepers,Lorenzo Carcaterra,1996,Ballantine Books
0671027662,Coast Road: A Novel,Barbara Delinsky,1999,Pocket Books
0345427637,The Angel of Darkness,Caleb Carr,1998,Ballantine Books
0553213105,Pride and Prejudice,Jane Austen,1981,Bantam
0671042572,Jewel (Oprah's Book Club),Bret Lott,1999,Pocket
0451209907,Quentins,Maeve Binchy,2003,Signet Book
0449221512,I Is for Innocent,Sue Grafton,1994,Fawcett Books
1400031362,Morality for Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
0449223612,N Is for Noose,Sue Grafton,1999,Fawcett Books
0440998050,A Wrinkle in Time,Madeleine L'Engle,1976,Laure Leaf
1565122968,Gap Creek: A Novel,Robert Morgan,2000,Algonquin Books of Chapel Hill
0679745203,The English Patient,Michael Ondaatje,1996,Vintage Books USA
034543479X,A Widow for One Year,JOHN IRVING,2001,Fawcett
0375705198,Amy and Isabelle : A novel,ELIZABETH STROUT,2000,Vintage
0439139600,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002,Scholastic Paperbacks
0671670689,Dawn (Cutler),V.C. Andrews,1990,Pocket
0446605581,Fat Tuesday,Sandra Brown,1998,Warner Vision
0671011375,Death du Jour,Kathy Reichs,2000,Pocket
0399146253,The Last Precinct,Patricia Daniels Cornwell,2000,Putnam Publishing Group
0553574663,The Grilling Season,Diane Mott Davidson,1998,Bantam Books
0553279378,I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,Bantam
0425083837,The Hunt for Red October,Tom Clancy,1985,Berkley Publishing Group
0553292722,Still Waters,TAMI HOAG,1992,Bantam
0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
0440224705,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000,Dell
0312983867,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks
1400031346,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2002,Anchor (UK)
0316781142,The Last Time They Met : A Novel,Anita Shreve,2001,"Little, Brown"
0425147584,Debt of Honor (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group
0670865796,The Deep End of the Ocean (Oprah's Book Club (Hardcover)),Jacquelyn Mitchard,1996,Penguin USA
0425192725,Q Is for Quarry,Sue Grafton,2003,Berkley Publishing Group
0375412530,Back When We Were Grownups: A Novel,ANNE TYLER,2001,Knopf
0553569031,Gone But Not Forgotten,PHILLIP M. MARGOLIN,1994,Bantam
031298328X,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks
0345435168,Open House (Oprah's Book Club (Paperback)),Elizabeth Berg,2001,Ballantine Books
0380730847,The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,2002,Avon
0440221595,The Glass Lake,Maeve Binchy,1996,Dell
0671038443,The Devil's Teardrop,Jeffery Deaver,2000,Pocket
0440222656,The Horse Whisperer,Nicholas Evans,1996,Dell
0316899984,"River, Cross My Heart",Breena Clarke,1999,Little Brown &amp; Company
014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books
0064472272,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001,HarperTempest
0553583980,True Blue,Luanne Rice,2002,Bantam Books
0515121843,Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books
0312952716,A Simple Plan,Scott Smith,1994,St. Martin's Press
0399147195,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,2001,Putnam Publishing Group
0743206029,On the Street Where You Live : A Novel,Mary Higgins Clark,2001,Simon &amp; Schuster
0316780375,The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,Anita Shreve,1998,Back Bay Books
0743436210,Hearts in Atlantis,Stephen King,2001,Pocket
0440236738,Gone for Good,HARLAN COBEN,2003,Dell
0804105820,It Was on Fire When I Lay Down on It,Robert Fulghum,1993,Ivy Books
0446604844,Total Control,David Baldacci,1997,Warner Books
0380817691,Stalker: A Peter Decker and Rina Lazarus Novel,Faye Kellerman,2001,Avon
0553582526,Dust to Dust,TAMI HOAG,2002,Bantam
0141000198,Bridget Jones's Diary,Helen Fielding,2001,Penguin Putnam
0553578316,Sticks &amp; Scones,Diane Mott Davidson,2002,Bantam Books
0446365386,Gone with the Wind,Margaret Mitchell,1993,Warner Books
0671727796,The Color Purple,Alice Walker,1990,Pocket
0373218036,"Truly, Madly Manhattan",Nora Roberts,2003,Silhouette
0553572326,Survival of the Fittest: An Alex Delaware Novel,Jonathan Kellerman,1998,Bantam
0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
0743235150,Everything's Eventual : 14 Dark Tales,Stephen King,2002,Scribner
0140177396,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993,Penguin Books
0451186923,The Deep End of the Ocean,Jacquelyn Mitchard,1997,New Amer Library
0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam
0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam
0812570944,What Dreams May Come : A Novel,Richard Matheson,1998,Tor Books
